STATIONKEY,TAXON,NUMBER,WEIGHT,WTCODE
40260105,GALEOCERDO CUVIERI,1,2.0,
40260105,CARCHARHINUS ACRONOTUS,1,7.0,
40260106,CARCHARHINUS ACRONOTUS,2,10.2,
40260106,RHIZOPRIONODON TERRAENOVAE,1,0.4,
40260106,GINGLYMOSTOMA CIRRATUM,2,65.0,
40260107,EPINEPHELUS MORIO,5,7.6,
40260107,OPSANUS PARDUS,1,1.1,
40260108,CARCHARHINUS ACRONOTUS,8,61.1,
40260108,CARCHARHINUS PLUMBEUS,2,80.0,
40260108,GALEOCERDO CUVIERI,3,15.3,
40260108,CARCHARHINUS LEUCAS,1,45.0,
40260109,MYCTEROPERCA MICROLEPIS,2,2.2,
40260109,EPINEPHELUS MORIO,3,3.4,
40260110,MUSTELUS CANIS,1,2.7,
40260111,CARETTA CARETTA,1,60.0,
40260112,LOPHOLATILUS CHAMAELEONTICEPS,4,8.9,
40260112,UROPHYCIS CIRRATUS,1,1.0,
40260113,CARCHARHINUS FALCIFORMIS,1,13.6,
40260114,CARCHARHINUS BREVIPINNA,1,11.6,
40260114,CARCHARHINUS PLUMBEUS,1,35.0,
40260114,BROTULA BARBATUM,1,,
40260114,THUNNUS ATLANTICUS,1,12.1,
40260115,EPINEPHELUS MORIO,3,3.8,
40260115,CARCHARHINUS ACRONOTUS,2,26.0,
40260115,RHIZOPRIONODON TERRAENOVAE,41,144.7,
40260115,CARCHARHINUS ACRONOTUS,1,5.3,
40260116,MUSTELUS CANIS,1,8.6,
40260117,LOPHOLATILUS CHAMAELEONTICEPS,2,3.2,
40260117,EPINEPHELUS FLAVOLIMBATUS,1,4.5,
40260118,RHIZOPRIONODON TERRAENOVAE,35,94.4,
40260118,GALEOCERDO CUVIERI,1,11.7,
40260119,ARIUS FELIS,1,0.5,
40260119,CARCHARHINUS ACRONOTUS,1,6.3,
40260119,PRIONOTUS TRIBULUS,1,0.0,
40260119,CARCHARHINUS PLUMBEUS,1,90.0,
40260120,ARIUS FELIS,1,0.7,
40260120,GALEOCERDO CUVIERI,2,6.0,
40260120,CARCHARHINUS ACRONOTUS,1,6.5,
40260121,CARCHARHINUS BREVIPINNA,1,17.5,
40260122,CARCHARHINUS ACRONOTUS,3,7.8,
40260122,EPINEPHELUS MORIO,2,4.6,
40260123,RHIZOPRIONODON TERRAENOVAE,13,38.4,
40260123,MUSTELUS CANIS,2,11.7,
40260124,LOPHOLATILUS CHAMAELEONTICEPS,2,8.1,
40260124,RAJA EGLANTERIA,1,5.8,
40260124,CARCHARHINUS FALCIFORMIS,2,5.6,
40260124,UROPHYCIS CIRRATUS,1,0.9,
40260124,SQUALUS CUBENSIS,1,0.6,
40260124,MUSTELUS CANIS,1,1.8,
40260125,MUSTELUS NORRISI,1,4.0,
40260125,MUSTELUS CANIS,5,32.3,
40260125,EPINEPHELUS FLAVOLIMBATUS,1,0.9,
40260127,SCOMBEROMORUS CAVALLA,1,6.8,
40260127,RHIZOPRIONODON TERRAENOVAE,1,3.4,
40260128,SPHYRNA LEWINI,2,102.0,
40260129,RHIZOPRIONODON TERRAENOVAE,52,203.8,
40260129,OPHICHTHUS REX,1,2.0,
40260129,RHIZOPRIONODON TERRAENOVAE,1,,
40260131,UROPHYCIS CIRRATUS,1,0.1,
40260131,OPHICHTHUS REX,7,53.8,
40260131,EPINEPHELUS FLAVOLIMBATUS,1,9.6,
40260132,OPHICHTHUS REX,3,19.8,
40260132,OPHICHTHUS REX,12,79.5,
40260133,CARCHARHINUS POROSUS,4,24.4,
40260133,CARCHARHINUS LIMBATUS,1,9.0,
40260133,CARCHARHINUS PLUMBEUS,1,14.0,
40260133,RHIZOPRIONODON TERRAENOVAE,3,10.3,
40260133,SPHYRNA LEWINI,2,21.4,
40260133,SPHYRNA LEWINI,2,63.0,
40260133,CARCHARHINUS ACRONOTUS,1,7.0,
40260134,CARCHARHINUS LIMBATUS,2,80.0,
40260134,CARCHARHINUS LIMBATUS,8,71.8,
40260134,CARCHARHINUS ISODON,3,37.0,
40260135,RHIZOPRIONODON TERRAENOVAE,57,243.8,
40260135,CARCHARHINUS LIMBATUS,1,16.8,
40260135,CARCHARHINUS LEUCAS,1,70.0,
40260135,RHIZOPRIONODON TERRAENOVAE,5,,
40260136,OPHICHTHUS REX,4,29.5,
40260136,CENTROPHORUS GRANULOSUS,65,385.4,
40260136,CENTROPHORUS GRANULOSUS,1,6.0,
40260136,CARCHARHINUS FALCIFORMIS,1,3.0,
40260137,LUTJANUS CAMPECHANUS,10,26.3,
40260138,OPHICHTHUS REX,1,3.5,
40260138,MUSTELUS CANIS,1,6.2,
40260138,LUTJANUS CAMPECHANUS,10,45.7,
40260139,CARCHARHINUS SIGNATUS,2,2.7,
40260139,LUTJANUS CAMPECHANUS,1,9.6,
40260139,CARCHARHINUS FALCIFORMIS,1,4.8,
40260139,BROTULA BARBATUM,1,5.0,
40260139,OPHICHTHUS REX,2,2.2,
40260139,CARCHARHINUS PLUMBEUS,3,82.0,
40260139,CARCHARHINUS PLUMBEUS,1,15.8,
40260139,MUSTELUS CANIS,1,8.8,
40260140,OPHICHTHUS REX,11,88.5,
40260141,RHIZOPRIONODON TERRAENOVAE,54,267.7,
40260142,RHIZOPRIONODON TERRAENOVAE,2,,
40260142,RHIZOPRIONODON TERRAENOVAE,68,283.9,
40260143,CARCHARHINUS LIMBATUS,1,17.0,
40260143,LUTJANUS CAMPECHANUS,1,5.3,
40260143,RHIZOPRIONODON TERRAENOVAE,47,207.5,
40260144,RHIZOPRIONODON TERRAENOVAE,45,165.0,
40260144,CARCHARHINUS ACRONOTUS,1,9.8,
40260145,SERIOLA DUMERILI,2,29.4,
40260145,OPHICHTHUS REX,1,9.0,
40260146,HEXANCHUS VITULUS,2,5.5,
40260147,MUSTELUS CANIS,1,2.4,
40260147,OPHICHTHUS REX,2,13.3,
40260148,MUSTELUS CANIS,5,18.4,
40260149,UROPHYCIS CIRRATUS,1,1.4,
40260149,LOPHOLATILUS CHAMAELEONTICEPS,2,11.3,
40260150,SERIOLA DUMERILI,1,10.2,
40260150,EPINEPHELUS NIGRITUS,1,59.9,
40260150,MUSTELUS CANIS,8,30.5,
40260150,GYMNOTHORAX NIGROMARGINATUS,1,1.8,
40260150,EPINEPHELUS FLAVOLIMBATUS,2,7.3,
40260150,MYCTEROPERCA PHENAX,2,6.0,
40260151,CARCHARHINUS LIMBATUS,3,36.3,
40260152,CARCHARHINUS LIMBATUS,1,25.0,
40260152,CARCHARHINUS LIMBATUS,1,15.3,
40260152,RHIZOPRIONODON TERRAENOVAE,1,0.5,
40260153,RHIZOPRIONODON TERRAENOVAE,2,2.3,
40260153,ARIUS FELIS,1,0.7,
40260153,CARCHARHINUS LIMBATUS,5,145.0,
40260153,DASYATIS AMERICANA,2,27.0,
40260153,BAGRE MARINUS,3,2.5,
40260153,CARCHARHINUS LIMBATUS,8,63.5,
40260154,CARCHARHINUS PLUMBEUS,1,54.5,
40260154,CARCHARHINUS FALCIFORMIS,2,6.5,
40260155,EPINEPHELUS NIGRITUS,1,6.7,
40260155,OPHICHTHUS REX,1,0.6,
40260156,THUNNUS THYNNUS,1,9.1,
40260156,CARCHARHINUS LEUCAS,1,80.0,
40260156,RHIZOPRIONODON TERRAENOVAE,3,5.6,
40260156,CARCHARHINUS LIMBATUS,3,46.0,
40260157,OPHICHTHUS REX,1,0.8,
40260157,CARCHARHINUS FALCIFORMIS,1,2.6,
40260157,RHIZOPRIONODON TERRAENOVAE,1,1.9,
40260158,CARCHARHINUS PLUMBEUS,2,66.0,
40260158,CARCHARHINUS FALCIFORMIS,1,3.5,
40260158,MUSTELUS CANIS,1,2.9,
40260158,CARCHARHINUS LIMBATUS,1,25.0,
40260159,OPHICHTHUS REX,1,11.0,
40260159,MUSTELUS CANIS,2,6.2,
40260160,CENTROPHORUS GRANULOSUS,1,0.6,
40260160,CARCHARHINUS SIGNATUS,1,1.5,
40260160,MUSTELUS CANIS,2,8.8,
40260161,MUSTELUS CANIS,1,6.8,
40260162,RHIZOPRIONODON TERRAENOVAE,8,18.5,
40260162,MUSTELUS CANIS,1,6.8,
40260162,MUSTELUS CANIS,1,,
40260162,LUTJANUS CAMPECHANUS,2,10.7,
40260162,CARCHARHINUS FALCIFORMIS,1,4.4,
40260162,CARCHARHINUS LEUCAS,3,102.0,
40260163,RHIZOPRIONODON TERRAENOVAE,20,52.0,
40260163,LUTJANUS CAMPECHANUS,1,11.0,
40260164,OPHICHTHUS REX,1,1.5,
40260164,RHIZOPRIONODON TERRAENOVAE,37,125.9,
40260165,RHIZOPRIONODON TERRAENOVAE,4,11.8,
40260165,BAGRE MARINUS,4,3.8,
40260165,CARCHARHINUS BREVIPINNA,1,11.8,
40260165,CARCHARHINUS LIMBATUS,2,15.1,
40260165,SPHYRNA LEWINI,1,200.0,
40260165,CARCHARHINUS LIMBATUS,3,34.5,
40260166,RHIZOPRIONODON TERRAENOVAE,1,2.4,
40260166,CARCHARHINUS LIMBATUS,15,276.0,
40260167,CARCHARHINUS BREVIPINNA,2,,
40260167,RHIZOPRIONODON TERRAENOVAE,1,3.5,
40260167,CARCHARHINUS LIMBATUS,2,19.8,
40260167,CARCHARHINUS BREVIPINNA,3,34.0,
40260167,BAGRE MARINUS,4,2.8,
40260167,CARCHARHINUS BREVIPINNA,6,58.7,
40260167,DASYATIS AMERICANA,1,20.0,
40260167,CARCHARHINUS LIMBATUS,1,25.0,
40260168,GALEOCERDO CUVIERI,3,211.0,
40260168,CARCHARHINUS BREVIPINNA,5,48.3,
40260168,RHIZOPRIONODON TERRAENOVAE,3,7.8,
40260169,CARCHARHINUS BREVIPINNA,6,26.1,
40260169,GALEOCERDO CUVIERI,1,4.8,
40260169,RHIZOPRIONODON TERRAENOVAE,5,8.8,
40260170,BAGRE MARINUS,1,0.7,
40260170,CARCHARHINUS LIMBATUS,4,100.0,
40260170,CARCHARHINUS BREVIPINNA,17,106.1,
40260170,RHIZOPRIONODON TERRAENOVAE,4,7.7,
40260171,CARCHARHINUS LIMBATUS,2,16.7,
40260171,SCIAENOPS OCELLATA,6,45.6,
40260171,CARCHARHINUS LEUCAS,1,34.0,
40260171,CARCHARHINUS BREVIPINNA,2,20.0,
40260171,BAGRE MARINUS,4,2.9,
40260171,RHIZOPRIONODON TERRAENOVAE,1,,
40260171,RHIZOPRIONODON TERRAENOVAE,4,11.5,
40260171,CARCHARHINUS BREVIPINNA,17,95.3,
40260171,CARCHARHINUS LIMBATUS,6,104.0,
40260172,SCIAENOPS OCELLATA,1,7.0,
40260172,CARCHARHINUS BREVIPINNA,1,5.0,
40260172,CARCHARHINUS BREVIPINNA,4,15.5,
40260172,CARCHARHINUS LEUCAS,1,30.0,
40260172,CARCHARHINUS LIMBATUS,3,36.9,
40260172,CARCHARHINUS LIMBATUS,10,229.0,
40260172,RHIZOPRIONODON TERRAENOVAE,11,31.8,
40260172,RHIZOPRIONODON TERRAENOVAE,5,,
40260173,RHIZOPRIONODON TERRAENOVAE,4,4.9,
40260173,SPHYRNA TIBURO,1,6.0,
40260174,RHIZOPRIONODON TERRAENOVAE,2,7.2,
40260174,CARCHARHINUS ACRONOTUS,2,12.7,
40260174,SPHYRNA LEWINI,1,75.0,
